stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,accept_rate,k0_labelfree,n_refine_iters
e2,calce,coral,CS2_35,2024,18.595090866088867,21.592129636880642,-0.8473787307739258,18.595090866088867,72.74678111587983,,,,
e2,calce,self_train,CS2_35,2024,18.651756286621094,20.23214801330847,-0.6219930648803711,18.651756286621094,75.7510729613734,,,,
e2,calce,dann,CS2_35,2024,16.954139709472656,18.06679855992971,-0.2933835983276367,16.954139709472656,70.81545064377683,,,,
e3,calce,hipif,CS2_35,2024,3.518412890768812,4.029576943401468,0.9356595869032843,23.071327209472656,79.93562231759657,0.0,18.95493970806008,0.35,14.0
e4,calce,no_gate,CS2_35,2024,3.593041204699465,4.60632624396367,0.9159235576264267,3.9654862880706787,14.163090128755366,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_35,2024,3.804805046495496,4.486230757895346,0.9202504655722674,22.11524200439453,78.43347639484979,0.0,19.3145758409139,0.35,14.0
e4,calce,no_projection,CS2_35,2024,3.643684997574295,4.228599570117519,0.929147029648751,22.3566951751709,79.50643776824035,0.0,19.1030251745293,0.35,14.0
e4,calce,direct_proj,CS2_35,2024,3.619564706065348,4.188822528889462,0.9304737412306114,22.271446228027344,80.04291845493562,0.0,,,
e1,calce,direct,CS2_36,2024,22.187721252441406,25.222050976650372,-1.0407586097717285,22.187721252441406,74.51181911613565,,,,
e2,calce,coral,CS2_36,2024,19.77802848815918,23.035367890010463,-0.7022413015365601,19.77802848815918,72.66187050359713,,,,
e2,calce,self_train,CS2_36,2024,19.0843448638916,20.799144962049372,-0.38778388500213623,19.0843448638916,73.6896197327852,,,,
e2,calce,dann,CS2_36,2024,17.503084182739258,18.845724884852448,-0.13934838771820068,17.503084182739258,69.7841726618705,,,,
e3,calce,hipif,CS2_36,2024,4.250250953672339,4.903856960805127,0.9228552335852929,22.956298828125,74.51181911613565,0.0,17.712334613743064,0.35,14.0
e4,calce,no_gate,CS2_36,2024,5.275151510886578,6.704372728694932,0.8558060023943233,5.844239711761475,37.20452209660843,0.0,100.0,0.35,14.0
e4,calce,no_anchor,CS2_36,2024,4.56588267744142,5.324588647135112,0.9090499369848798,22.21003532409668,74.40904419321686,0.0,18.16047801963295,0.35,14.0
e4,calce,no_projection,CS2_36,2024,4.350135807442802,5.03291660485452,0.918741210379848,22.752901077270508,74.82014388489209,0.0,17.75501493811353,0.35,14.0
e4,calce,direct_proj,CS2_36,2024,4.410904528153328,5.11408071145878,0.9160992126582951,22.187721252441406,74.51181911613565,0.0,,,
e1,calce,direct,CS2_37,2024,21.70331382751465,24.314178173524727,-1.36696457862854,21.70331382751465,77.82063645130182,,,,
