stage,dataset,method,cell,seed,mae,rmse,r2,raw_pvr
e8,nasa,Transformer_direct,B0006,99,4.41489315032959,5.5163940239384415,0.8072335720062256,21.428571428571427
e8,nasa,Transformer_direct_proj,B0006,99,4.387085621401215,5.4554626542536555,0.8114684774697518,21.428571428571427
e8,nasa,Transformer_direct,B0007,99,3.7463622093200684,4.5154304858489605,0.6832859516143799,46.42857142857143
e8,nasa,Transformer_direct_proj,B0007,99,2.9423194737094844,3.852162951940748,0.7694960837956861,46.42857142857143
e8,nasa,Transformer_direct,B0018,99,5.810871124267578,7.925273700404192,-0.05529677867889404,12.878787878787879
e8,nasa,Transformer_direct_proj,B0018,99,6.676762815378166,8.331809383389759,-0.16633872586247067,12.878787878787879
e8,nasa,GRU_direct,B0005,256,4.443456172943115,5.2713968129074535,0.6916016340255737,15.476190476190476
e8,nasa,GRU_direct_proj,B0005,256,4.516347347349999,5.359412783013092,0.6812170632925851,15.476190476190476
e8,nasa,GRU_direct,B0006,256,10.590398788452148,11.915477631120558,0.10061901807785034,0.0
e8,nasa,GRU_direct_proj,B0006,256,10.809220124837182,12.171199369809958,0.061600963100437944,0.0
e8,nasa,GRU_direct,B0007,256,10.472262382507324,11.400704318591941,-1.01898193359375,3.571428571428571
e8,nasa,GRU_direct_proj,B0007,256,10.597627444270747,11.520190419549612,-1.0615236597815811,3.571428571428571
e8,nasa,GRU_direct,B0018,256,13.562275886535645,14.614022071739226,-2.5882740020751953,0.0
e8,nasa,GRU_direct_proj,B0018,256,14.14292485253999,15.063828822814406,-2.812560890755658,0.0
e8,nasa,Transformer_direct,B0005,256,7.277063369750977,8.111479792932505,0.26976799964904785,0.0
e8,nasa,Transformer_direct_proj,B0005,256,7.327315710980325,8.07059909951254,0.27711002698928433,0.0
e8,nasa,Transformer_direct,B0006,256,12.280734062194824,14.000665376382843,-0.24170410633087158,0.0
e8,nasa,Transformer_direct_proj,B0006,256,12.300892888839718,13.964776048631448,-0.2353463923254111,0.0
e8,nasa,Transformer_direct,B0007,256,7.242560386657715,7.670060387961784,0.08616745471954346,1.7857142857142856
e8,nasa,Transformer_direct_proj,B0007,256,7.264641834351887,7.622545854954215,0.09745451210089817,1.7857142857142856
e8,nasa,Transformer_direct,B0018,256,12.956901550292969,13.18339467442288,-1.920119047164917,0.0
e8,nasa,Transformer_direct_proj,B0018,256,13.010721543763816,13.2005744358492,-1.9277346009958372,0.0
e8,nasa,GRU_direct,B0005,1234,12.522422790527344,12.957220849532305,-0.8633068799972534,4.761904761904762
e8,nasa,GRU_direct_proj,B0005,1234,12.585840655091493,13.021048294029407,-0.8817093848738444,4.761904761904762
e8,nasa,GRU_direct,B0006,1234,20.692073822021484,23.32427991796116,-2.4461746215820312,0.0
e8,nasa,GRU_direct_proj,B0006,1234,20.691043970536217,23.32157218117845,-2.445374610569849,0.0
e8,nasa,GRU_direct,B0007,1234,15.189799308776855,16.349582193151758,-3.1522393226623535,0.0
e8,nasa,GRU_direct_proj,B0007,1234,15.202365272995157,16.36450655361503,-3.159822856397473,0.0
e8,nasa,GRU_direct,B0018,1234,20.59133529663086,21.58933381827232,-6.831131935119629,0.0
e8,nasa,GRU_direct_proj,B0018,1234,20.599572950293293,21.598095389924474,-6.837489184960706,0.0
e8,nasa,Transformer_direct,B0005,1234,4.684595108032227,5.505765147517567,0.6635689735412598,41.66666666666667
e8,nasa,Transformer_direct_proj,B0005,1234,3.9021619074819784,4.73732604522463,0.7509266835418751,41.66666666666667
e8,nasa,Transformer_direct,B0006,1234,6.265533447265625,7.298685180146265,0.6625494956970215,13.095238095238097
e8,nasa,Transformer_direct_proj,B0006,1234,6.266146659281121,7.263719728352726,0.6657749802855129,13.095238095238097
e8,nasa,Transformer_direct,B0007,1234,2.725370168685913,3.608350203711795,0.7977510094642639,14.285714285714285
e8,nasa,Transformer_direct_proj,B0007,1234,2.6255350341817056,3.4157319639536743,0.8187672936811925,14.285714285714285
e8,nasa,Transformer_direct,B0018,1234,8.215129852294922,8.97605550610793,-0.3536834716796875,15.909090909090908
e8,nasa,Transformer_direct_proj,B0018,1234,8.262302955061541,8.9343994141142,-0.3411482036921716,15.909090909090908
e8,nasa,GRU_direct,B0005,2718,9.615716934204102,10.90009158034743,-0.31862401962280273,38.095238095238095
e8,nasa,GRU_direct_proj,B0005,2718,9.66877589405984,10.777731354244484,-0.28918534488729253,38.095238095238095
e8,nasa,GRU_direct,B0006,2718,21.012178421020508,23.120399141133195,-2.386190891265869,62.5
e8,nasa,GRU_direct_proj,B0006,2718,20.181598748500647,22.479460820631747,-2.2010509086623693,62.5
e8,nasa,GRU_direct,B0007,2718,18.991775512695312,20.514289899674583,-5.537052631378174,91.07142857142857
e8,nasa,GRU_direct_proj,B0007,2718,17.67549586731818,19.354028167423646,-4.818509472352586,91.07142857142857
e8,nasa,GRU_direct,B0018,2718,22.516620635986328,23.600044431482935,-8.357755661010742,75.75757575757575
e8,nasa,GRU_direct_proj,B0018,2718,21.462348265181948,22.594802757759794,-7.577547932924123,75.75757575757575
e8,nasa,Transformer_direct,B0005,2718,6.2730536460876465,6.691812141075489,0.5030094385147095,1.7857142857142856
e8,nasa,Transformer_direct_proj,B0005,2718,6.318164324425221,6.689186247633367,0.5033994136171944,1.7857142857142856
e8,nasa,Transformer_direct,B0006,2718,12.924399375915527,14.153629961563471,-0.26898491382598877,0.0
e8,nasa,Transformer_direct_proj,B0006,2718,12.956463279650325,14.16172279278549,-0.27043654688539887,0.0
e8,nasa,Transformer_direct,B0007,2718,11.496870994567871,11.975429812305407,-1.2276718616485596,0.0
e8,nasa,Transformer_direct_proj,B0007,2718,11.53122628410922,11.988455543645594,-1.232520638437573,0.0
e8,nasa,Transformer_direct,B0018,2718,14.840922355651855,15.180401183042726,-2.8717968463897705,0.0
