stage,dataset,method,cell,seed,mae,rmse,r2,mae_raw,raw_pvr,proj_pvr,pvr_I1,pvr_I2,pvr_I3,pvr_I4,pvr_all
e5,nasa,drop_I2,B0006,7,2.3766083032267837,2.768013785779835,0.9514647469769304,11.094828605651855,75.0,0.0,0.0,13.095238095238097,0.0,75.0,75.0
e5,nasa,drop_I3,B0006,7,2.3731224543896197,2.7635235745246987,0.9516220849042267,11.542551040649414,75.0,0.0,0.0,9.523809523809524,0.0,75.0,75.0
e5,nasa,drop_I4,B0006,7,2.2204662632376917,2.5566383613038064,0.9585943694605116,3.895136594772339,60.71428571428571,0.0,0.0,14.880952380952381,0.0,60.11904761904761,64.88095238095238
e6,nasa,calib_H0,B0006,7,3.0615028482274083,4.036140717125491,0.8968062490090911,4.684605121612549,0.0,0.0,,,,,
e6,nasa,calib_H1,B0006,7,2.3801933238576694,2.7726894356597653,0.9513006397631387,11.47192668914795,75.0,0.0,,,,,
e6,nasa,calib_H2,B0006,7,2.3783132539557026,2.770230136331852,0.9513869914386279,11.498226165771484,75.0,0.0,,,,,
e5,nasa,drop_I1,B0007,7,2.219007822200972,2.3897459800979104,0.9112900187227303,15.430150032043457,94.64285714285714,0.0,0.0,5.952380952380952,0.0,94.64285714285714,94.64285714285714
e5,nasa,drop_I2,B0007,7,2.2076313330340027,2.376657366267285,0.912259084938725,15.007207870483398,92.85714285714286,0.0,0.0,7.142857142857142,0.0,92.85714285714286,94.04761904761905
e5,nasa,drop_I3,B0007,7,2.2034782800260073,2.371209787557663,0.9126608489956721,15.212992668151855,94.04761904761905,0.0,0.0,5.952380952380952,0.0,94.04761904761905,94.64285714285714
e5,nasa,drop_I4,B0007,7,1.935228196692332,2.119028643754074,0.930250248819209,5.955132484436035,79.16666666666666,0.0,0.0,16.071428571428573,0.0,76.78571428571429,84.52380952380952
e6,nasa,calib_H0,B0007,7,5.757540162576704,6.183228300567478,0.40611880706542725,8.692472457885742,0.0,0.0,,,,,
e6,nasa,calib_H1,B0007,7,2.2030068821354343,2.372156752788561,0.9125910756211917,15.467598915100098,94.64285714285714,0.0,,,,,
e6,nasa,calib_H2,B0007,7,2.2168441797946756,2.3830027263060267,0.9117899462859524,15.144429206848145,94.04761904761905,0.0,,,,,
e5,nasa,drop_I1,B0018,7,1.7451015498230438,2.002960928475889,0.9325951727554104,10.035884857177734,86.36363636363636,0.0,0.0,7.575757575757576,0.0,86.36363636363636,88.63636363636364
e5,nasa,drop_I2,B0018,7,1.7612307461078052,2.0119338142700256,0.93198989829558,9.992090225219727,85.60606060606061,0.0,0.0,6.8181818181818175,0.0,85.60606060606061,87.12121212121212
e5,nasa,drop_I3,B0018,7,1.7585271032220646,2.002712493358377,0.9326118926898037,10.040806770324707,85.60606060606061,0.0,0.0,6.8181818181818175,0.0,85.60606060606061,87.87878787878788
e5,nasa,drop_I4,B0018,7,2.067834697587343,2.639769776761763,0.8829212305565126,2.0336592197418213,0.0,0.0,0.0,12.121212121212121,0.0,0.0,12.121212121212121
e6,nasa,calib_H0,B0018,7,1.619844168424131,2.0370533307812213,0.9302810491773085,2.4456889629364014,0.0,0.0,,,,,
e6,nasa,calib_H1,B0018,7,1.791688181457248,2.0205136939905417,0.9314086041259435,10.200057983398438,86.36363636363636,0.0,,,,,
e6,nasa,calib_H2,B0018,7,1.795573059307543,2.0418833195424675,0.9299500406932862,10.054311752319336,86.36363636363636,0.0,,,,,
e5,nasa,drop_I1,B0005,99,2.3855994073936486,2.6871784913892305,0.9198591986120317,6.283415794372559,61.30952380952381,0.0,0.0,6.547619047619048,0.0,61.30952380952381,61.904761904761905
e5,nasa,drop_I2,B0005,99,2.41725803626538,2.70054449554485,0.9190599764806315,6.073073387145996,61.904761904761905,0.0,0.0,9.523809523809524,0.0,61.30952380952381,61.904761904761905
e5,nasa,drop_I3,B0005,99,2.4289846196259446,2.7216798936897515,0.9177880893555344,6.73702335357666,61.30952380952381,0.0,0.0,11.30952380952381,0.0,61.30952380952381,63.69047619047619
e5,nasa,drop_I4,B0005,99,2.520526531214505,2.8443526642588433,0.9102100899321154,4.418668746948242,39.88095238095239,0.0,0.0,12.5,0.0,37.5,45.23809523809524
