dataset,cell,seed,combo,mono,rate,floor,mae
calce,CS2_37,99,mono+rate,1,1,0,17.464070253535354
calce,CS2_37,99,mono+rate+floor,1,1,1,5.194559103777061
calce,CS2_37,123,clip_only,0,0,0,23.97770252062247
calce,CS2_37,123,floor,0,0,1,5.096598908699687
calce,CS2_37,123,rate,0,1,0,22.420317094903105
calce,CS2_37,123,rate+floor,0,1,1,5.096372918800324
calce,CS2_37,123,mono,1,0,0,22.34112231605392
calce,CS2_37,123,mono+floor,1,0,1,3.879942387902259
calce,CS2_37,123,mono+rate,1,1,0,20.908311192074233
calce,CS2_37,123,mono+rate+floor,1,1,1,3.8725507511480384
calce,CS2_37,256,clip_only,0,0,0,21.86979903733374
calce,CS2_37,256,floor,0,0,1,4.820125493066945
calce,CS2_37,256,rate,0,1,0,20.86661468841653
calce,CS2_37,256,rate+floor,0,1,1,4.816731180204604
calce,CS2_37,256,mono,1,0,0,21.351274012203245
calce,CS2_37,256,mono+floor,1,0,1,4.137310938952653
calce,CS2_37,256,mono+rate,1,1,0,20.34595823695988
calce,CS2_37,256,mono+rate+floor,1,1,1,4.137310938952653
calce,CS2_37,1234,clip_only,0,0,0,22.350774432102302
calce,CS2_37,1234,floor,0,0,1,4.493302644129249
calce,CS2_37,1234,rate,0,1,0,20.98459767476011
calce,CS2_37,1234,rate+floor,0,1,1,4.4679202357651215
calce,CS2_37,1234,mono,1,0,0,21.882444637684454
calce,CS2_37,1234,mono+floor,1,0,1,3.828179672764012
calce,CS2_37,1234,mono+rate,1,1,0,20.54180619429401
calce,CS2_37,1234,mono+rate+floor,1,1,1,3.805346213473691
calce,CS2_37,2024,clip_only,0,0,0,21.70331439953531
calce,CS2_37,2024,floor,0,0,1,4.579161852489846
calce,CS2_37,2024,rate,0,1,0,20.649345742156537
calce,CS2_37,2024,rate+floor,0,1,1,4.5800673804725065
calce,CS2_37,2024,mono,1,0,0,21.408765590705073
calce,CS2_37,2024,mono+floor,1,0,1,4.008207600087819
calce,CS2_37,2024,mono+rate,1,1,0,20.35224203759385
calce,CS2_37,2024,mono+rate+floor,1,1,1,4.008207600087819
calce,CS2_37,2718,clip_only,0,0,0,22.904285710481002
calce,CS2_37,2718,floor,0,0,1,3.5858939655591824
calce,CS2_37,2718,rate,0,1,0,21.716516828562288
calce,CS2_37,2718,rate+floor,0,1,1,3.5880090541117617
calce,CS2_37,2718,mono,1,0,0,22.90653496635039
calce,CS2_37,2718,mono+floor,1,0,1,3.110122150273426
calce,CS2_37,2718,mono+rate,1,1,0,21.721462846436914
calce,CS2_37,2718,mono+rate+floor,1,1,1,3.109824912726673
calce,CS2_38,7,clip_only,0,0,0,22.328795886837415
calce,CS2_38,7,floor,0,0,1,4.501236269515521
calce,CS2_38,7,rate,0,1,0,21.03549147737334
calce,CS2_38,7,rate+floor,0,1,1,4.49287654681817
calce,CS2_38,7,mono,1,0,0,22.181893983351248
calce,CS2_38,7,mono+floor,1,0,1,4.001209029112385
calce,CS2_38,7,mono+rate,1,1,0,20.881793301415495
calce,CS2_38,7,mono+rate+floor,1,1,1,4.001209029112385
calce,CS2_38,42,clip_only,0,0,0,23.4074076365361
calce,CS2_38,42,floor,0,0,1,4.450374247614901
calce,CS2_38,42,rate,0,1,0,22.91184313401667
calce,CS2_38,42,rate+floor,0,1,1,4.455126187376711
calce,CS2_38,42,mono,1,0,0,22.653514887964338
calce,CS2_38,42,mono+floor,1,0,1,3.6563067155372386
calce,CS2_38,42,mono+rate,1,1,0,22.169867846933702
calce,CS2_38,42,mono+rate+floor,1,1,1,3.6563067155372386
calce,CS2_38,99,clip_only,0,0,0,19.321710029942395
calce,CS2_38,99,floor,0,0,1,5.941478400652091
calce,CS2_38,99,rate,0,1,0,18.629880088113346
calce,CS2_38,99,rate+floor,0,1,1,5.949654550735125
calce,CS2_38,99,mono,1,0,0,18.47409934250995
calce,CS2_38,99,mono+floor,1,0,1,5.158270656404819
calce,CS2_38,99,mono+rate,1,1,0,17.811298925213194
calce,CS2_38,99,mono+rate+floor,1,1,1,5.1571845719970675
calce,CS2_38,123,clip_only,0,0,0,24.3273334574079
