stage,dataset,method,cell,seed,mae,rmse,r2
e0,evtol,HIPIF_lab,VAH11,123,2.6028943061828613,5.718871068454632,0.8945745229721069
e0,evtol,CoulombCount,VAH11,123,6.053271824131078,17.390293659059274,0.025147695362908506
e0,evtol,LSTM,VAH05,123,1.585392713546753,1.78526255752256,0.9867380857467651
e0,evtol,GRU,VAH05,123,1.4763742685317993,2.836087645872532,0.9665310978889465
e0,evtol,Transformer,VAH05,123,1.4055616855621338,2.644389882669063,0.970902681350708
e0,evtol,HIPIF_lab,VAH05,123,1.40542733669281,2.513722523710303,0.9737071990966797
e0,evtol,CoulombCount,VAH05,123,5.349970412163056,15.040526259799671,0.05869952300613057
e0,evtol,LSTM,VAH12,123,0.6463178992271423,2.2621241389039666,0.984495997428894
e0,evtol,GRU,VAH12,123,3.780259132385254,7.741569363489344,0.818419337272644
e0,evtol,Transformer,VAH12,123,1.3050466775894165,5.279405982964275,0.9155535101890564
e0,evtol,HIPIF_lab,VAH12,123,1.541308045387268,7.655274122675853,0.8224449157714844
e0,evtol,CoulombCount,VAH12,123,6.524074707491767,18.057895332445607,0.012025590778524053
e0,evtol,LSTM,VAH01,123,11.551774978637695,20.084450760563897,0.049518585205078125
e0,evtol,GRU,VAH01,123,11.661971092224121,19.89844440150057,0.0670422911643982
e0,evtol,Transformer,VAH01,123,20.932870864868164,26.536537173787035,-0.6592514514923096
e0,evtol,HIPIF_lab,VAH01,123,10.662623405456543,18.325361610997696,0.2087225317955017
e0,evtol,CoulombCount,VAH01,123,13.673959942450567,23.11677645539989,-0.2591524152276712
e0,evtol,LSTM,VAH10,2024,5.8150954246521,6.976595307173702,0.779607355594635
e0,evtol,GRU,VAH10,2024,6.3701090812683105,11.003535656144127,0.451755166053772
e0,evtol,Transformer,VAH10,2024,11.905838966369629,21.249579212286033,-1.0446109771728516
e0,evtol,HIPIF_lab,VAH10,2024,8.98822021484375,15.297258039126653,-0.05958843231201172
e0,evtol,CoulombCount,VAH10,2024,5.984584149551469,14.210814745962617,0.08557524721081933
e0,evtol,LSTM,VAH07,2024,7.433294773101807,11.37964107865892,-0.05293738842010498
e0,evtol,GRU,VAH07,2024,9.392474174499512,12.454431099167326,-0.2612268924713135
e0,evtol,Transformer,VAH07,2024,3.73246693611145,9.449259120418102,0.27399277687072754
e0,evtol,HIPIF_lab,VAH07,2024,15.6157865524292,18.50216414706669,-1.7834954261779785
e0,evtol,CoulombCount,VAH07,2024,3.822578478362699,10.525559496886721,0.0991844796392598
e0,evtol,LSTM,VAH13,2024,1.8945748805999756,2.5600664632335417,0.9822386503219604
e0,evtol,GRU,VAH13,2024,1.5935190916061401,3.6492171506198328,0.9639111757278442
e0,evtol,Transformer,VAH13,2024,2.315866470336914,5.088332964216899,0.9298343062400818
e0,evtol,HIPIF_lab,VAH13,2024,2.438627243041992,4.873369188676916,0.9356375932693481
e0,evtol,CoulombCount,VAH13,2024,7.512125974011407,19.36529638101551,-0.01630001063569786
e0,evtol,LSTM,VAH11,2024,2.1072075366973877,2.424793576765473,0.9810471534729004
e0,evtol,GRU,VAH11,2024,1.2617110013961792,3.577693863260442,0.9587398171424866
e0,evtol,Transformer,VAH11,2024,1.6188229322433472,2.515309000011639,0.9796057343482971
e0,evtol,HIPIF_lab,VAH11,2024,1.6562886238098145,5.178381753839801,0.9135603308677673
e0,evtol,CoulombCount,VAH11,2024,6.053271824131078,17.390293659059274,0.025147695362908506
e0,evtol,LSTM,VAH05,2024,1.682721734046936,2.675066285782709,0.9702236652374268
e0,evtol,GRU,VAH05,2024,1.1372950077056885,2.853974458854177,0.9661076068878174
e0,evtol,Transformer,VAH05,2024,1.2503032684326172,2.65641936715902,0.970637321472168
e0,evtol,HIPIF_lab,VAH05,2024,0.9218824505805969,2.0367959239460447,0.9827377796173096
e0,evtol,CoulombCount,VAH05,2024,5.349970412163056,15.040526259799671,0.05869952300613057
e0,evtol,LSTM,VAH12,2024,2.409900426864624,4.055773286476199,0.9501621723175049
e0,evtol,GRU,VAH12,2024,1.970849871635437,4.674127246356984,0.9338068962097168
e0,evtol,Transformer,VAH12,2024,2.5873806476593018,4.826269688342567,0.9294276237487793
e0,evtol,HIPIF_lab,VAH12,2024,1.9916017055511475,9.293714175126397,0.7383081912994385
e0,evtol,CoulombCount,VAH12,2024,6.524074707491767,18.057895332445607,0.012025590778524053
e0,evtol,LSTM,VAH01,2024,8.475159645080566,16.54535245149346,0.35497617721557617
e0,evtol,GRU,VAH01,2024,10.162456512451172,19.43594246171253,0.10990798473358154
e0,evtol,Transformer,VAH01,2024,2.091313362121582,5.5998903808764,0.9261105060577393
e0,evtol,HIPIF_lab,VAH01,2024,17.809602737426758,26.095090253753913,-0.6045058965682983
e0,evtol,CoulombCount,VAH01,2024,13.673959942450567,23.11677645539989,-0.2591524152276712
